CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 
Done!16.42 s

Number of sentences: 17535
Number of features:  9186816
Number of thread(s): 1
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=160 terr=0.00007 serr=0.00194 act=9186816 obj=2842.93299 diff=0.00275
iter=161 terr=0.00007 serr=0.00188 act=9186816 obj=2841.50135 diff=0.00050
iter=162 terr=0.00007 serr=0.00182 act=9186816 obj=2840.69764 diff=0.00028
iter=163 terr=0.00007 serr=0.00171 act=9186816 obj=2840.32553 diff=0.00013
iter=164 terr=0.00007 serr=0.00171 act=9186816 obj=2839.52018 diff=0.00028
iter=165 terr=0.00007 serr=0.00182 act=9186816 obj=2838.14808 diff=0.00048
iter=166 terr=0.00006 serr=0.00177 act=9186816 obj=2835.49007 diff=0.00094
iter=167 terr=0.00007 serr=0.00177 act=9186816 obj=2836.79489 diff=0.00046
iter=168 terr=0.00007 serr=0.00182 act=9186816 obj=2834.29021 diff=0.00088
iter=169 terr=0.00007 serr=0.00188 act=9186816 obj=2832.60365 diff=0.00060
iter=170 terr=0.00007 serr=0.00188 act=9186816 obj=2832.01748 diff=0.00021
iter=171 terr=0.00007 serr=0.00182 act=9186816 obj=2831.39356 diff=0.00022
iter=172 terr=0.00007 serr=0.00188 act=9186816 obj=2831.16393 diff=0.00008
iter=173 terr=0.00007 serr=0.00188 act=9186816 obj=2830.62573 diff=0.00019
iter=174 terr=0.00006 serr=0.00171 act=9186816 obj=2829.15891 diff=0.00052
iter=175 terr=0.00006 serr=0.00171 act=9186816 obj=2829.21503 diff=0.00002
iter=176 terr=0.00006 serr=0.00171 act=9186816 obj=2828.52861 diff=0.00024
iter=177 terr=0.00006 serr=0.00160 act=9186816 obj=2827.68312 diff=0.00030
iter=178 terr=0.00006 serr=0.00165 act=9186816 obj=2827.16498 diff=0.00018
iter=179 terr=0.00006 serr=0.00171 act=9186816 obj=2827.05184 diff=0.00004
iter=180 terr=0.00006 serr=0.00171 act=9186816 obj=2826.80300 diff=0.00009
iter=181 terr=0.00006 serr=0.00171 act=9186816 obj=2826.68172 diff=0.00004

Done!1980.45 s

