CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 
Done!8.53 s

Number of sentences: 17535
Number of features:  8855328
Number of thread(s): 1
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=102 terr=0.00820 serr=0.21466 act=8855328 obj=41082.06643 diff=0.00545
iter=103 terr=0.00821 serr=0.21449 act=8855328 obj=41028.10058 diff=0.00131
iter=104 terr=0.00926 serr=0.21317 act=8855328 obj=40854.09997 diff=0.00424
iter=105 terr=0.00786 serr=0.20758 act=8855328 obj=40451.77390 diff=0.00985
iter=106 terr=0.00695 serr=0.19344 act=8855328 obj=40069.71180 diff=0.00944
iter=107 terr=0.00700 serr=0.19321 act=8855328 obj=39844.92492 diff=0.00561
iter=108 terr=0.00684 serr=0.18905 act=8855328 obj=39544.74711 diff=0.00753
iter=109 terr=0.00588 serr=0.16955 act=8855328 obj=40151.11201 diff=0.01533
iter=110 terr=0.00650 serr=0.18186 act=8855328 obj=39462.54587 diff=0.01715
iter=111 terr=0.00633 serr=0.17987 act=8855328 obj=39301.62846 diff=0.00408
iter=112 terr=0.00657 serr=0.17987 act=8855328 obj=39142.66823 diff=0.00404
iter=113 terr=0.00615 serr=0.17468 act=8855328 obj=38958.69991 diff=0.00470
iter=114 terr=0.00600 serr=0.17194 act=8855328 obj=38877.01382 diff=0.00210
iter=115 terr=0.00582 serr=0.16846 act=8855328 obj=38759.49523 diff=0.00302
iter=116 terr=0.00584 serr=0.16932 act=8855328 obj=38539.16071 diff=0.00568
iter=117 terr=0.00525 serr=0.15637 act=8855328 obj=38624.00507 diff=0.00220
iter=118 terr=0.00541 serr=0.16036 act=8855328 obj=38391.35114 diff=0.00602
iter=119 terr=0.00561 serr=0.16533 act=8855328 obj=38228.79347 diff=0.00423
iter=120 terr=0.00561 serr=0.16567 act=8855328 obj=38081.25600 diff=0.00386
iter=121 terr=0.00538 serr=0.16145 act=8855328 obj=37879.27813 diff=0.00530
iter=122 terr=0.00553 serr=0.16253 act=8855328 obj=37732.51278 diff=0.00387
iter=123 terr=0.00494 serr=0.15090 act=8855328 obj=37482.26728 diff=0.00663
iter=124 terr=0.00469 serr=0.14502 act=8855328 obj=37328.90481 diff=0.00409
iter=125 terr=0.00461 serr=0.14337 act=8855328 obj=37147.06398 diff=0.00487
iter=126 terr=0.00400 serr=0.13077 act=8855328 obj=37110.96891 diff=0.00097
iter=127 terr=0.00422 serr=0.13522 act=8855328 obj=36941.14691 diff=0.00458
iter=128 terr=0.00441 serr=0.14012 act=8855328 obj=36591.47450 diff=0.00947
iter=129 terr=0.00475 serr=0.14799 act=8855328 obj=36349.96916 diff=0.00660
iter=130 terr=0.00485 serr=0.15130 act=8855328 obj=36251.52167 diff=0.00271
iter=131 terr=0.00493 serr=0.15381 act=8855328 obj=36043.99593 diff=0.00572
iter=132 terr=0.00512 serr=0.15877 act=8855328 obj=35611.61036 diff=0.01200
iter=133 terr=0.00484 serr=0.15478 act=8855328 obj=35474.06916 diff=0.00386
iter=134 terr=0.00491 serr=0.15278 act=8855328 obj=34949.48317 diff=0.01479
iter=135 terr=0.00460 serr=0.14383 act=8855328 obj=34812.42234 diff=0.00392
iter=136 terr=0.00436 serr=0.13681 act=8855328 obj=34657.88057 diff=0.00444
iter=137 terr=0.00417 serr=0.13271 act=8855328 obj=34489.11175 diff=0.00487
iter=138 terr=0.00410 serr=0.13311 act=8855328 obj=34235.12079 diff=0.00736
iter=139 terr=0.00406 serr=0.13271 act=8855328 obj=33791.67926 diff=0.01295
iter=140 terr=0.00513 serr=0.16441 act=8855328 obj=40839.98434 diff=0.20858
iter=141 terr=0.00379 serr=0.12501 act=8855328 obj=33708.04761 diff=0.17463
iter=142 terr=0.00395 serr=0.12883 act=8855328 obj=33269.26456 diff=0.01302
iter=143 terr=0.00403 serr=0.13139 act=8855328 obj=33086.14980 diff=0.00550
iter=144 terr=0.00394 serr=0.13025 act=8855328 obj=32920.34827 diff=0.00501
iter=145 terr=0.00373 serr=0.12529 act=8855328 obj=32754.67128 diff=0.00503
iter=146 terr=0.00451 serr=0.14383 act=8855328 obj=32745.59337 diff=0.00028
iter=147 terr=0.00399 serr=0.13293 act=8855328 obj=32559.79020 diff=0.00567
iter=148 terr=0.00330 serr=0.11246 act=8855328 obj=32627.01385 diff=0.00206
iter=149 terr=0.00360 serr=0.12147 act=8855328 obj=32453.04202 diff=0.00533
iter=150 terr=0.00350 serr=0.11856 act=8855328 obj=32278.23948 diff=0.00539
iter=151 terr=0.00366 serr=0.12421 act=8855328 obj=31974.04296 diff=0.00942
iter=152 terr=0.00341 serr=0.11885 act=8855328 obj=31765.26339 diff=0.00653
iter=153 terr=0.00346 serr=0.11982 act=8855328 obj=31530.34798 diff=0.00740
iter=154 terr=0.00332 serr=0.11508 act=8855328 obj=31136.05163 diff=0.01251
iter=155 terr=0.00480 serr=0.14924 act=8855328 obj=31507.67258 diff=0.01194
iter=156 terr=0.00359 serr=0.12238 act=8855328 obj=31045.89289 diff=0.01466
iter=157 terr=0.00337 serr=0.11543 act=8855328 obj=30883.13114 diff=0.00524
iter=158 terr=0.00297 serr=0.10339 act=8855328 obj=30665.38187 diff=0.00705
iter=159 terr=0.00284 serr=0.09832 act=8855328 obj=30541.54808 diff=0.00404
iter=160 terr=0.00266 serr=0.09410 act=8855328 obj=30321.32650 diff=0.00721
iter=161 terr=0.00251 serr=0.08959 act=8855328 obj=30083.19262 diff=0.00785
iter=162 terr=0.00384 serr=0.12449 act=8855328 obj=30337.02804 diff=0.00844
iter=163 terr=0.00286 serr=0.09894 act=8855328 obj=29994.04893 diff=0.01131
iter=164 terr=0.00282 serr=0.09929 act=8855328 obj=29858.85143 diff=0.00451
iter=165 terr=0.00241 serr=0.08703 act=8855328 obj=29788.59519 diff=0.00235
iter=166 terr=0.00257 serr=0.09370 act=8855328 obj=29631.49195 diff=0.00527
iter=167 terr=0.00255 serr=0.09438 act=8855328 obj=29569.46334 diff=0.00209
iter=168 terr=0.00241 serr=0.09136 act=8855328 obj=29287.15989 diff=0.00955
iter=169 terr=0.00222 serr=0.08549 act=8855328 obj=29141.74342 diff=0.00497
iter=170 terr=0.00303 serr=0.10710 act=8855328 obj=29475.95547 diff=0.01147
iter=171 terr=0.00233 serr=0.08868 act=8855328 obj=29094.81872 diff=0.01293
iter=172 terr=0.00213 serr=0.08024 act=8855328 obj=28982.50953 diff=0.00386
iter=173 terr=0.00209 serr=0.07847 act=8855328 obj=28937.09086 diff=0.00157
iter=174 terr=0.00201 serr=0.07648 act=8855328 obj=28804.14837 diff=0.00459
iter=175 terr=0.00200 serr=0.07636 act=8855328 obj=28628.20806 diff=0.00611
iter=176 terr=0.00167 serr=0.05469 act=8855328 obj=29330.09605 diff=0.02452
iter=177 terr=0.00169 serr=0.06285 act=8855328 obj=28468.16992 diff=0.02939
iter=178 terr=0.00178 serr=0.06604 act=8855328 obj=28299.35660 diff=0.00593
iter=179 terr=0.00173 serr=0.06421 act=8855328 obj=28253.97402 diff=0.00160
